Brackish	MatterWater
water	MatterWater
is	O
water	MatterWater
that	O
has	O
more	O
salinity	MatterWater
than	O
fresh	MatterWater 
water	MatterWater
but	O
not	O
as	O
much	O
as	O
seawater	MatterWater
.	O
It	O
may	O
result	O
from	O
mixing	O
of	O
seawater	MatterWater
with	O
fresh	MatterWater
water	MatterWater
as	O
in	O
estuaries	O
or	O
it	O
may	O
occur	O
in	O	
brackish	MatterWater
fossil	O
aquifers	O
.	O
Depth	MatterWater
hoares	MatterWater
are	O
large	O
crystals	MatterWater
occurring	O
at	O
the	O	
base	O
of	O
a	O
snowpack	MatterWater
that	O
form	O
due	O
to	O
the	O
fact	O
that	O
a	O
snow	MatterWater
crystal	MatterWater
can	O
grow	O
over	O
time	O
as	O
moisture	MatterWater
freezes	O
onto	O
the	O
crystal	MatterWater
from	O
vapor	MatterWater
that	O
is	O
rising	O
in	O
the	O
snowpack	MatterWater
.	O
Firn	MatterWater
is	O
partially-compacted	O
névé	MatterWater
,	O
a	O
type	O
of	O
snow	MatterWater
that	O
has	O
been	O
left	O
over	O
from	O
past	O
seasons	O
and	O
has	O
been	O
recrystallized	O
into	O
a	O
substance	MatterWater
denser	O
than	O
névé	MatterWater
.	O
It	O
is	O
ice	MatterWater
that	O
is	O
at	O
an	O
intermediate	O
stage	O
between	O
snow	MatterWater
and	O
glacial	MatterWater
ice	MatterWater
.	O
Firn	MatterWater
has	O	
the	O
appearance	O
of	O
wet	O
sugar	O
,	O
but	O
has	O
a	O
hardness	O
that	O
makes	O
it	O
extremely	O
resistant	O
to	O
shovelling	O
.	O
It	O
generally	O
has	O
a	O
density	O
greater	O
than	O
550	O
kg/m³	O
and	O
is	O
often	O
found	O
underneath	O
the	O
snow	MatterWater
that	O
accumulates	O
at	O
the	O
head	O
of	O
a	O
glacier	MatterWater
.	O
Rime	MatterWater
is	O
a	O
white	O
or	O
milky	O
and	O
opaque	O
granular	O
deposit	O
of	O
ice	MatterWater
formed	O
by	O
the	O
rapid	O
freezing	O
of	O
supercooled	O
water	MatterWater
drops	O
as	O
they	O
impinge	O
upon	O
an	O
exposed	O
object	O
.	O
Liquid	MatterWater
steam	MatterWater
dew	MatterWater
vapor	MatterWater
drop	MatterWater
drizzle	MatterWater
groundwater	MatterWater
rain	MatterWater
hydrate	MatterWater
brine	MatterWater
saline	MatterWater
salt	MatterWater
sea	MatterWater
effluent	MatterWater
waste	MatterWater
wastewater	MatterWater
sewage	MatterWater
frost	MatterWater
SnowFacies	MatterWater
SnowGrain	MatterWater
Calcite	Mineral
Evaporite	Mineral
Feldspar	Mineral
In	O
the	O
scientific	O
sense	O
the	O
term	O
glass	Mineral
is	O
often	O
extended	O
to	O
all	O
amorphous	Mineral
solids	Mineral
(	O
and	O
melts	O
that	O
easily	O	
form	O
amorphous	O
solids	O
)	O
,	O
including	O
plastics	O
,	O
resins	O
,	O
or	O
other	O
silica-free	O
amorphous	O
solids	O
.	O
Hematite	Mineral
,	O
also	O
spelled	O
as	O
hæmatite	Mineral
,	O
is	O
the	O
mineral	O
